"Timestamp","Who is your oshi(s)?","Gender","Age","Time zone","Are you native/fluent in English?"
"2023/05/21 12:52:12 AM MDT","Vox Akuma;Uki Violeta;Fulgur Ovid","","","UTC -5","Yes"
"2023/05/21 12:55:26 AM MDT","Luca Kaneshiro;Shu Yamino;Ike Eveland;Mysta Rias;Vox Akuma","","20","UTC +8","Yes"
"2023/05/21 12:57:57 AM MDT","Elira Pendora;Selen Tatsuki;Millie Parfait;Luca Kaneshiro;Ike Eveland;Sonny Brisko;Scarle Yonaguni;Meloco Kyoran","","","UTC +14/-10","Yes"
"2023/05/21 12:58:43 AM MDT","Uki Violeta;Fulgur Ovid","","23","UTC -7","Yes"
"2023/05/21 1:00:21 AM MDT","Fulgur Ovid","","34","UTC +7","No"
"2023/05/21 1:01:19 AM MDT","Fulgur Ovid","","36","UTC +7","Yes"
"2023/05/21 1:07:59 AM MDT","Vox Akuma;Fulgur Ovid;Hex Haywire","","18","UTC +3","Yes"
"2023/05/21 1:09:49 AM MDT","Selen Tatsuki;Millie Parfait;Enna Alouette;Reimu Endou;Fulgur Ovid;Kyo Kaneko;Doppio Dropscythe","","25","UTC -3","No"
"2023/05/21 1:10:25 AM MDT","Elira Pendora;Doppio Dropscythe","","24","UTC +8","Yes"
"2023/05/21 1:14:09 AM MDT","Pomu Rainpuff;Elira Pendora;Millie Parfait;Enna Alouette;Shu Yamino;Vox Akuma;Sonny Brisko;Uki Violeta;Alban Knox;Fulgur Ovid;Aster Arcadia;Doppio Dropscythe;Ver Vermillion","","22","UTC +0","Yes"
"2023/05/21 1:15:21 AM MDT","Pomu Rainpuff;Selen Tatsuki;Enna Alouette;Ike Eveland;Mysta Rias;Doppio Dropscythe;Kotoka Torahime","","26","UTC +1","Yes"
"2023/05/21 1:15:48 AM MDT","Kyo Kaneko;Doppio Dropscythe;Kotoka Torahime;Ver Vermillion","","29","UTC -8","Yes"
"2023/05/21 1:16:39 AM MDT","Shu Yamino;Vox Akuma;Uki Violeta;Fulgur Ovid","","","UTC +9","Yes"
"2023/05/21 1:28:31 AM MDT","Millie Parfait;Enna Alouette;Vox Akuma;Sonny Brisko;Uki Violeta;Fulgur Ovid;Scarle Yonaguni;Ren Zotto;Doppio Dropscythe","","23","UTC +7","Yes"
"2023/05/21 1:30:00 AM MDT","Ike Eveland;Sonny Brisko;Alban Knox;Ren Zotto;Doppio Dropscythe;Ver Vermillion","","27","UTC +8","No"
"2023/05/21 1:30:45 AM MDT","Vox Akuma","","23","UTC +1","Yes"
"2023/05/21 1:34:17 AM MDT","Pomu Rainpuff;Elira Pendora;Finana Ryugu;Rosemi Lovelock;Petra Gurin;Selen Tatsuki;Nina Kosaka;Millie Parfait;Enna Alouette;Reimu Endou;Luca Kaneshiro;Shu Yamino;Ike Eveland;Mysta Rias;Vox Akuma;Sonny Brisko;Uki Violeta;Alban Knox;Fulgur Ovid;Maria Marionette;Kyo Kaneko;Aia Amare;Aster Arcadia;Scarle Yonaguni;Ren Zotto;Doppio Dropscythe;Meloco Kyoran;Hex Haywire;Kotoka Torahime;Ver Vermillion","","27","UTC +1","Yes"
"2023/05/21 1:36:09 AM MDT","Mysta Rias;Ver Vermillion","","24","UTC +8","No"
"2023/05/21 1:42:07 AM MDT","Rosemi Lovelock;Vox Akuma","","25","UTC -8","Yes"
"2023/05/21 1:50:51 AM MDT","Fulgur Ovid","","36","UTC +2","No"
"2023/05/21 2:03:43 AM MDT","Pomu Rainpuff;Elira Pendora;Petra Gurin;Millie Parfait;Reimu Endou;Luca Kaneshiro;Shu Yamino;Ike Eveland;Mysta Rias;Vox Akuma;Sonny Brisko;Uki Violeta;Alban Knox;Fulgur Ovid;Maria Marionette;Kyo Kaneko;Scarle Yonaguni;Ren Zotto;Doppio Dropscythe","","18","UTC -4","Yes"
"2023/05/21 2:48:28 AM MDT","Pomu Rainpuff;Selen Tatsuki;Ike Eveland;Kyo Kaneko;Doppio Dropscythe","","21","UTC -8","Yes"
"2023/05/21 2:55:25 AM MDT","Vox Akuma","","","UTC +8","No"
"2023/05/21 3:06:59 AM MDT","Pomu Rainpuff;Mysta Rias;Vox Akuma;Sonny Brisko","","20","","Yes"
"2023/05/21 3:16:48 AM MDT","Vox Akuma;Fulgur Ovid","","24","UTC -4","Yes"
"2023/05/21 3:34:51 AM MDT","Uki Violeta;Fulgur Ovid","","21","UTC +2","Yes"
"2023/05/21 3:55:30 AM MDT","Ike Eveland;Vox Akuma;Fulgur Ovid;Doppio Dropscythe;Hex Haywire;Ver Vermillion","","24","UTC +2","Yes"
"2023/05/21 3:56:06 AM MDT","Shu Yamino;Doppio Dropscythe","","23","UTC +8","No"
"2023/05/21 4:20:43 AM MDT","Doppio Dropscythe","","17","UTC -3","Yes"
"2023/05/21 4:42:25 AM MDT","Finana Ryugu;Selen Tatsuki;Millie Parfait;Enna Alouette;Sonny Brisko;Fulgur Ovid;Kyo Kaneko;Doppio Dropscythe","","21","UTC +8","Yes"
"2023/05/21 5:08:19 AM MDT","Mysta Rias;Uki Violeta;Fulgur Ovid;Kyo Kaneko;Aster Arcadia;Doppio Dropscythe","","","UTC +8","No"
